;Captção Ativa;CPA;tipo_contato_cp_ativa;
;E-mail;CEML;tipo_contato_email;
;Pessoal;CPSSL;tipo_contato_pessoal;
;Mídias Sociais;CMDSCCS;tipo_contato_rede_social;
;Telefone;CTLFN;tipo_contato_telefone;
